timestep,mean_return,std_return,mean_ep_len,return_per_step
1000,203.34333759999998,0.6655703531839786,165.8,1.226437500603136
2000,203.675951,0.0,166.0,1.2269635602409639
3000,117.57122059999999,48.1621815049765,195.6,0.6010798599182003
4000,75.5858776,12.329229531460637,141.6,0.533798570621469
5000,76.89878359999999,0.9883510959248446,135.8,0.566264974963181
6000,76.1371506,3.795155271290837,114.6,0.6643730418848167
7000,61.501575200000005,2.365832830273805,58.2,1.0567280962199312
8000,52.8647656,6.0462616435487,57.2,0.9242091888111887
9000,45.040499,4.503128297199091,53.6,0.840307817164179
10000,45.138986,3.822277661011455,53.8,0.8390146096654276
11000,46.3311496,1.6114012835524985,50.2,0.9229312669322709
12000,46.0431484,4.544655899628246,49.8,0.9245612128514057
13000,48.0594744,2.767333262192581,46.4,1.0357645344827586
14000,46.1005298,2.347111531083464,46.6,0.9892817553648068
15000,46.8110854,1.5166584888806844,47.2,0.9917602838983051
16000,48.311742800000005,0.5512086646297932,46.4,1.041201353448276
17000,46.144909199999994,1.1123724242758628,46.6,0.9902341030042917
18000,47.8503562,1.2393633547449099,47.2,1.0137787330508474
19000,50.3711096,2.369025428151297,47.0,1.0717257361702126
20000,49.458194000000006,1.8359453687226093,46.6,1.0613346351931332
21000,47.8921256,0.8076424110012043,44.4,1.0786514774774776
22000,48.12815199999999,0.8986429425445912,44.8,1.074289107142857
23000,46.3301878,0.8622378837428573,44.6,1.0387934484304933
24000,46.4465318,2.491872265959907,45.6,1.018564293859649
25000,44.8170614,0.9609551249186612,43.2,1.0374319768518518
26000,44.4084012,1.135832087899863,43.6,1.0185413119266056
27000,41.6819478,2.630891307916341,41.8,0.9971757846889954
28000,40.12033340000001,2.406315567793187,41.2,0.9737945000000001
29000,40.547112799999994,2.0303563781672804,42.0,0.9654074476190475
30000,38.789311600000005,1.7838069333183586,40.2,0.964908248756219
31000,23.4809104,0.669539858399961,17.6,1.3341426363636362
32000,22.080707,0.695653147404077,16.6,1.3301630722891564
33000,20.7092692,0.6877031787913725,15.6,1.3275172564102564
34000,20.7148384,0.6745138948091728,15.6,1.3278742564102566
35000,21.2663054,0.004542329032554923,16.0,1.3291440875
36000,19.6153392,0.5465991943709394,14.8,1.3253607567567567
37000,19.904733599999997,0.8705970577348847,15.0,1.3269822399999998
38000,19.628809800000003,0.5445863332620087,14.8,1.3262709324324324
39000,22.140545799999998,0.6745661132373604,16.6,1.3337678192771083
40000,22.4198096,0.5502217252394167,16.8,1.334512476190476
41000,25.286175000000004,0.5448646759333922,18.8,1.3450093085106385
